alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,peak_rmse,duration_rmse,sd,l0,task_id,iter
3.1834949295923924,1.7411003989789866,1.6278789215353124,2.2832507107711684,3.845747638440252,2.878621032988959,5.1,4,176,4
3.1965189867954007,1.8275408630049848,1.7140660929727582,2.329436937050932,3.724988509311606,3.0265491269320624,5.1,4,176,5
2.7249089866194423,1.9767962599532451,1.8018298032873912,2.345424066896327,3.0989097728732937,2.3856514430650764,5.3,4,177,1
3.0507218814093044,2.0732516126305924,1.9298525240398043,2.3991242796779324,3.4311525366025295,2.862808800951557,5.3,4,177,2
2.9872943709402806,1.8995554276716624,1.774601546729789,2.2877323841351576,3.46242864080186,2.867952630906751,5.3,4,177,3
2.9807626862743204,2.215976311602124,2.074329699875419,2.414766640539725,3.1636068348761786,2.829021425456693,5.3,4,177,4
2.9935438804721604,2.1616165138822487,2.0469175026810302,2.365101980960864,3.011502439428011,2.9002252199229575,5.3,4,177,5
2.9362815677125083,2.0070173393047117,1.8646675950745195,2.3206212662603867,3.3560679267570457,2.7010779227814607,5.5,4,178,1
3.16735727431469,2.1815559548410755,2.059120420949584,2.398877132375941,3.3107525581771635,3.0058251415563464,5.5,4,178,2
3.5586374511776633,2.0246829855751676,1.9280169264768272,2.412499410901217,4.042030648106537,3.495125513518088,5.5,4,178,3
3.1324033911720552,2.0412500268370426,1.9021432911254428,2.36806586566116,3.622856883364023,2.860541681528901,5.5,4,178,4
2.985868939154427,2.151074636368497,2.02025930577171,2.391246653845706,3.2620784079135627,2.9041215650209695,5.5,4,178,5
3.192152770714379,2.090123151752255,1.9273175942067424,2.5102769862400844,3.604063363202952,2.934405432661942,5.7,4,179,1
3.298069861339209,2.0988653725795534,1.974189974046704,2.4183878543475164,3.687919201787211,3.096052273236265,5.7,4,179,2
3.10753517686771,1.9622502984903876,1.873356596390676,2.1575039671178193,3.724269176489513,3.0016492137478727,5.7,4,179,3
3.271738280834121,2.3379901210316425,2.208765995965227,2.50062063869463,3.721025793955851,3.21996075473634,5.7,4,179,4
2.809859669612085,1.996395506410093,1.8693384957719292,2.233466255073017,3.339528357087836,2.7088948316688217,5.7,4,179,5
3.255438029571331,2.2937877794864163,2.169860963961273,2.4657690168322044,3.428093387373581,3.1361614737122947,5.9,4,180,1
2.8945397571384035,2.136846624692656,1.988892677594176,2.36389894438695,3.2582316726809175,2.7008767699559173,5.9,4,180,2
2.9291181411569145,2.239122169690816,2.058772580314316,2.4349428691449444,3.314857518535993,2.534544694272032,5.9,4,180,3
3.1303916169541637,2.2620250622456495,2.153228784567605,2.4212875527065214,3.418390013349959,3.164319078003892,5.9,4,180,4
2.930475743475786,2.303532751164533,2.1573198284880686,2.3985044303304073,3.0796156903270613,2.718661186625887,5.9,4,180,5
3.307390614689663,2.344907283593687,2.225168710978634,2.4957424832319286,3.6223441651691113,3.2680378067471514,6.1,4,181,1
2.8173929418610233,2.276173435611433,2.08572409136492,2.442994502373548,3.136288225989323,2.4524583723865403,6.1,4,181,2
2.732018856245909,2.2715277765562374,2.0836127954277717,2.400329750021412,3.0591364694328576,2.3472624964895763,6.1,4,181,3
3.052909167807668,2.273014564782702,2.1220551705131596,2.4574519490259688,3.3298805069446993,2.8717323757728632,6.1,4,181,4
3.077855063339283,2.3968049931917217,2.263593973729603,2.470009337891182,3.2812116227354773,3.0164873019202427,6.1,4,181,5
3.148264202636437,2.328720613541107,2.2100192904731477,2.3712639341801953,3.550754338486237,3.0083159372571404,6.3,4,182,1
3.272679903060896,2.4120276660060105,2.297414169389133,2.434836151014294,3.6401965170402897,3.210051502700164,6.3,4,182,2
3.074133100040755,2.2597243661447304,2.1791363846451337,2.2714973593561925,3.3451201632510994,3.182158284278742,6.3,4,182,3
2.851177781757529,2.269659735758859,2.1052136676543505,2.3880676877225593,3.108585804785742,2.5238969155349467,6.3,4,182,4
2.917858640421017,2.132877617155986,2.0012451788616357,2.246704128597198,3.607638958206152,2.611744788771721,6.3,4,182,5
2.9745972383530352,2.2793120019391155,2.1546786702253815,2.317332915438164,3.3527329011282787,2.8272906757488747,6.5,4,183,1
2.946001567956123,2.09409545101281,1.95275174125467,2.3255311179358515,3.49595293535743,2.657387738958459,6.5,4,183,2
3.0472584980375745,2.529954723601045,2.388732463150653,2.491473989921324,3.220220014019709,2.9435335578416315,6.5,4,183,3
2.906602181814246,2.2155064074859943,2.046028871378566,2.446265926541912,3.3270386150195117,2.649145717574101,6.5,4,183,4
3.0146124876938867,2.415011289957026,2.272747269266096,2.4130458151159964,3.2482820513834163,2.793931438599336,6.5,4,183,5
3.289008438170528,2.307289124284938,2.21988324936943,2.268835708085931,3.721276865122096,3.26231677328564,6.7,4,184,1
3.030158589049111,2.357066204238176,2.2093368706171232,2.436218934167728,3.2889506073964703,2.8372984878033116,6.7,4,184,2
2.8373479657430374,2.3736492091493755,2.221408811311594,2.3884888980528785,3.4012991388550624,2.737196153962136,6.7,4,184,3
2.9245705708925307,2.7876122502393557,2.6472807794380815,2.5794558865128687,2.760860459603435,2.8598429369579454,6.7,4,184,4
3.1748702665072885,2.7028567907594168,2.569755589917987,2.5678452760147352,3.196987238559265,3.0835143288411615,6.7,4,184,5
3.04876736538139,2.70327262875303,2.565639639054731,2.5634495318984714,3.1136049291839454,3.0087956203628794,6.9,4,185,1
