est_alpha,est_beta1,est_beta2,est_psi,true_alpha,true_beta1,true_beta2,true_psi,alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
-28.54785130989288,38.32430443089841,-40.05217411339714,1.2024910550562895,3,2,-4,5,31.800471429062377,36.59522301611969,36.325655485445374,3.797677967575274,7.7,4,89,5
-8.008812708215757,15.198431793604788,-16.80703230325627,1.6916482381159987,3,2,-4,5,11.99303039278033,14.204151125303763,13.843069404318308,3.3297644498766785,7.9,4,90,1
-25.76008585572109,38.99871797675672,-40.70078193109519,1.1086382612638608,3,2,-4,5,29.034721532937528,37.32202975277693,37.02713009592056,3.891546743170364,7.9,4,90,2
-22.045201360672472,32.614070999158834,-34.30158307249619,1.2038434127618465,3,2,-4,5,25.394894493358077,30.998956965064608,30.69116579783803,3.7965414580623063,7.9,4,90,3
-34.864948157001464,45.83016229857668,-47.60364111444953,1.1477827911122518,3,2,-4,5,38.06446558749643,44.0469414401163,43.82189704785975,3.8522969694553297,7.9,4,90,4
-24.16454402440288,37.61184751058538,-39.26735774673513,1.1025115646395045,3,2,-4,5,27.429122837618607,35.92881734384057,35.58782098007853,3.897683791599015,7.9,4,90,5
-40.332850931651834,52.419499329930176,-54.19394818411522,1.10156760753185,3,2,-4,5,43.429195806618566,50.52416350411401,50.29925258894565,3.898455585376572,8.1,4,91,1
-28.27033875600676,36.81265781554321,-38.46120553607506,1.2298389136254595,3,2,-4,5,31.558324702636643,35.10958178896375,34.761458156037726,3.770344957764025,8.1,4,91,2
-19.133269395261852,29.60365487484873,-31.244617118046353,1.2293849856133443,3,2,-4,5,22.55424652752383,28.081201879763594,27.72870659113452,3.771286893141359,8.1,4,91,3
-40.878484287602966,53.31313739191951,-55.1382673194431,1.0991276439862925,3,2,-4,5,43.985847035812576,51.43114955631019,51.256934299861726,3.9008984956981094,8.1,4,91,4
-18.02699173761823,32.40389206092553,-34.042532588983406,1.085704385352173,3,2,-4,5,21.34936079961042,30.820196718168123,30.464043609192633,3.9147111439913336,8.1,4,91,5
-37.09112148168568,45.6453174762917,-47.40941052472423,1.1928616998977035,3,2,-4,5,40.211666890886,43.766930466623194,43.53191577015441,3.8071771759558897,8.3,4,92,1
-39.01304752049097,56.98288921154645,-58.75238333826766,0.9970282771673684,3,2,-4,5,42.13243794666965,55.12972113758757,54.90006091515449,4.002999740269405,8.3,4,92,2
-31.43970637945137,48.31907271859221,-50.05011383581452,1.0135774913928026,3,2,-4,5,34.65518817096572,46.58716234860698,46.320343014855375,3.9865030353077135,8.3,4,92,3
-17.92851547364871,31.023503792068137,-32.7513526226266,1.1448926794834215,3,2,-4,5,21.320450221638833,29.50193729259693,29.234817106793248,3.855699343324656,8.3,4,92,4
-18.176382159073295,27.79199760950257,-29.49394283463277,1.2810526058784142,3,2,-4,5,21.63266130644265,26.282577227877912,25.990561741834924,3.7198466720718777,8.3,4,92,5
-26.951231804138413,44.91119555917436,-46.549644038756746,0.978984526300825,3,2,-4,5,30.179980114399395,43.21328961766001,42.85512514851848,4.021118437480491,8.5,4,93,1
-29.8068073953074,44.40845091018694,-46.082390001647504,1.061799146195333,3,2,-4,5,33.08333029680029,42.74049471485057,42.41745648512666,3.938328776680415,8.5,4,93,2
-35.95684628727975,49.39954998911519,-51.09613504671582,1.0757564564438964,3,2,-4,5,39.182281971441235,47.65452669569159,47.353310608822426,3.9243068432616206,8.5,4,93,3
-41.51761577523789,57.540696775060994,-59.320507895581315,1.0275820814277214,3,2,-4,5,44.64849061636488,55.69288535662174,55.47352468945382,3.9724438684997705,8.5,4,93,4
-28.68148730560308,41.22949442337691,-42.97756382457017,1.1175316504515425,3,2,-4,5,31.950395496237217,39.5375897667339,39.28794826835213,3.8826194654479855,8.5,4,93,5
-26.36441087490454,44.09057301257033,-45.85063762475855,0.997969914302128,3,2,-4,5,29.609729806233915,42.408235481005896,42.170329767412646,4.0021573392854135,8.7,4,94,1
-25.515546030484117,40.03512472873655,-41.74457337083261,1.0751716215033902,3,2,-4,5,28.85121360693154,38.44275991637424,38.1561088872054,3.92504395570832,8.7,4,94,2
-23.48214059640247,35.052719554646046,-36.770556403097025,1.1672402840029723,3,2,-4,5,26.882665970904338,33.50376379639477,33.22618456407735,3.8331072202126744,8.7,4,94,3
-41.7859856154233,53.07702792190145,-54.901305039786,1.1213100203403827,3,2,-4,5,44.93891153521418,51.241225741197034,51.066234072134336,3.8787273086989327,8.7,4,94,4
-34.308982690112956,56.02464582295723,-57.76770236621175,0.9247753198180856,3,2,-4,5,37.46561034159747,54.23496521799585,53.97930827150748,4.075263415094558,8.7,4,94,5
-43.7839893147467,56.163785620964155,-57.92575432301099,1.0941770401263666,3,2,-4,5,46.97272221925536,54.36914625770963,54.13223701217184,3.905861505308642,8.9,4,95,1
-30.90137113580624,45.179751290934625,-46.88209315854163,1.0699822028052624,3,2,-4,5,34.13290291707689,43.45172706549099,43.15636356513475,3.930113956162763,8.9,4,95,2
-34.88685187543137,52.686344209498664,-54.508078484502505,1.0031506222472897,3,2,-4,5,38.02335170539117,50.85596942106832,50.67850129409804,3.9968910717735993,8.9,4,95,3
-23.0840905925191,38.375737675146866,-40.063855603853995,1.0539186312811524,3,2,-4,5,26.42202613645049,36.80323705170873,36.49565555573642,3.946347924194655,8.9,4,95,4
-34.79751230430997,49.0518699630558,-50.78916844596721,1.0651200285731934,3,2,-4,5,37.98417372544417,47.26528993046316,47.00408427982672,3.934937578350752,8.9,4,95,5
-49.097414829901375,58.25204134466416,-60.05767465016572,1.147139901194577,3,2,-4,5,52.22119659325721,56.37851302524113,56.18479242583728,3.8528818162884426,9.1,4,96,1
-36.83193160771354,59.00349335652008,-60.74038944446621,0.9234026161554144,3,2,-4,5,40.00434468671769,57.232690869832055,56.97076360749662,4.0766344424882375,9.1,4,96,2
-42.401787159061215,58.01125572551574,-59.81360646637383,1.037309644910211,3,2,-4,5,45.46504140870019,56.08437313856859,55.887071268510894,3.9627036417004766,9.1,4,96,3
-41.873924011527045,50.970630715619635,-52.76728137970151,1.1664037125160691,3,2,-4,5,45.062087149747896,49.162325928814525,48.9602441100487,3.8336415661370262,9.1,4,96,4
-38.82124218428407,51.145197067878094,-52.92315291078722,1.1033340615889369,3,2,-4,5,42.01175731337775,49.354290528012704,49.13362337245415,3.896717251040171,9.1,4,96,5
-27.339517544376527,40.20800971081229,-41.85694656795223,1.104554385042454,3,2,-4,5,30.709565955763193,38.63207463191204,38.28570475478229,3.895651773848989,9.3,4,97,1
-46.12941163565443,60.05015411963903,-61.78984477366928,1.0606327110163776,3,2,-4,5,49.32581711655444,58.27038090140898,58.011253363157394,3.9394029726800217,9.3,4,97,2
-40.9083381486973,56.51144190951956,-58.32398028778045,1.0391723393186985,3,2,-4,5,44.04674379904169,54.67182900592321,54.485137716844946,3.960858236655896,9.3,4,97,3
-16.814556797019335,28.06267920531288,-29.773724398361455,1.230168959631644,3,2,-4,5,20.38307822849727,26.715620007237348,26.434485212340405,3.771167816535241,9.3,4,97,4
-32.641702518606124,56.33128238554808,-58.07858288843928,0.893821430111405,3,2,-4,5,35.828174705666804,54.59269070648032,54.341723352734014,4.106228404741824,9.3,4,97,5
-30.199792857404013,50.34375603241177,-52.05007225548184,0.948672240606024,3,2,-4,5,33.47310487225206,48.709292966214214,48.41849979724085,4.051428755117284,9.5,4,98,1
-36.42457472605762,51.27201737054258,-52.98849056181574,1.0512376851062588,3,2,-4,5,39.720682962309446,49.615286244554326,49.33425992931822,3.948850166776467,9.5,4,98,2
-31.27776741958804,51.55561091758658,-53.30444723881196,0.9506271157297976,3,2,-4,5,34.49775597631903,49.84892551407516,49.5995008926435,4.049448744637993,9.5,4,98,3
