alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
0.03908271507722954,0.05527362029788056,0.03596359029562287,0.1441434412970514,2.9000000000000004,1,15,3
0.03914943206353261,0.03904587089801364,0.04312885028788449,0.08960069498505488,2.9000000000000004,1,15,4
0.02631219526706992,0.06398844803134533,0.09726703181378564,0.1314804726075422,2.9000000000000004,1,15,5
0.06123162954133004,0.02971159363976489,0.03325577758084683,0.06152765886628864,3.1,1,16,1
0.00185668787516842,0.05177101572936223,0.0738694595167864,0.10772253573892716,3.1,1,16,2
0.03679469698386257,0.04242869390898665,0.05237869152010362,0.12920981755724636,3.1,1,16,3
0.01434638223434215,0.04036956244212563,0.06852421989235327,0.09166451119477628,3.1,1,16,4
0.03805462964265511,0.06357454084228015,0.04714287946578661,0.15703006843029002,3.1,1,16,5
0.00557899768918207,0.0411186123250666,0.073105732703095,0.09901272105998311,3.3000000000000003,1,17,1
0.00265293891975534,0.03401882460160869,0.08136169325515882,0.10018476141653788,3.3000000000000003,1,17,2
0.01129046700552663,0.04255507031873425,0.07312889052592757,0.1068519860518931,3.3000000000000003,1,17,3
0.00739041310772375,0.03316537812343929,0.09595691473259951,0.10341324644060627,3.3000000000000003,1,17,4
0.00665251357163854,0.04339085472559607,0.07831032823756606,0.10075661229010673,3.3000000000000003,1,17,5
0.00897118367813003,0.04646341010852045,0.06853276081482636,0.12171544983602409,3.5000000000000004,1,18,1
0.03296951453049592,0.0211486810268006,0.0520718560343492,0.11468407215668323,3.5000000000000004,1,18,2
0.004041656617933,0.03590295934377805,0.08150504804064994,0.09577037754334888,3.5000000000000004,1,18,3
0.02989026929649065,0.0569631848870811,0.06735103638861828,0.13255558635505385,3.5000000000000004,1,18,4
0.03090490828550004,0.03400148690735713,0.07809801217766942,0.13101851171994022,3.5000000000000004,1,18,5
0.0104268509548736,0.02879170558813896,0.0617121584592687,0.09161271769851614,3.7,1,19,1
0.03244276144036134,0.01723904744322754,0.03538850419227892,0.07050817813331263,3.7,1,19,2
0.01298120577516169,0.04429682079594525,0.07892152884391768,0.11758706285052052,3.7,1,19,3
0.04871884561058712,0.07314109370674426,0.07315747401393244,0.15290001681664225,3.7,1,19,4
0.01304553076044154,0.06115328642970606,0.08946718238004425,0.11475308821179418,3.7,1,19,5
0.02621193895322649,0.06659797497582688,0.08109996198239863,0.12050363217439236,3.9,1,20,1
0.01515304314488971,0.03560459031416902,0.07262641985914525,0.09714642945488725,3.9,1,20,2
0.02869416869509384,0.04082624310685148,0.05878578101992214,0.10943384511395056,3.9,1,20,3
0.05164475532281645,0.03934240001750058,0.02753527802527728,0.13774833401474448,3.9,1,20,4
0.05705666426998588,0.02859136857953929,0.0318732623814915,0.04604678550510242,3.9,1,20,5
0.00835926810160069,0.05002542794971099,0.08938922676740704,0.10881791367233744,4.1,1,21,1
0.01487940688701942,0.04372781028728927,0.06414504272239276,0.1227725514310856,4.1,1,21,2
0.10488132699753498,0.0377873798091809,0.10266463047632496,0.09726344935636104,4.1,1,21,3
0.00659543841899518,0.03448402219202034,0.0863903912366406,0.10976217556765314,4.1,1,21,4
